,Price,N_rooms,Surface_m2,Link,Zone,Price_per_m2,Source
321,1060,1,25.0,https://www.pap.fr/annonces/appartement-paris-9e-r186709631,ParisEst,42.4,PAP
322,590,1,11.0,https://www.pap.fr/annonces/appartement-paris-9e-75009-r434401022,ParisEst,53.63636363636363,PAP
323,850,1,13.0,https://www.pap.fr/annonces/appartement-paris-9e-75009-r434400529,ParisEst,65.38461538461539,PAP
324,990,1,21.0,https://www.pap.fr/annonces/appartement-paris-9e-75009-r432701378,ParisEst,47.14285714285714,PAP
325,520,1,12.0,https://www.pap.fr/annonces/appartement-paris-9e-r182604071,ParisEst,43.33333333333334,PAP
326,1100,1,28.0,https://www.pap.fr/annonces/appartement-paris-9e-r416901320,ParisEst,39.285714285714285,PAP
327,560,1,12.0,https://www.pap.fr/annonces/appartement-paris-10e-r195704190,ParisEst,46.66666666666666,PAP
328,686,1,17.0,https://www.pap.fr/annonces/appartement-paris-10e-r434400633,ParisEst,40.352941176470594,PAP
329,500,1,11.0,https://www.pap.fr/annonces/appartement-paris-10e-r195904286,ParisEst,45.45454545454545,PAP
330,1000,1,30.0,https://www.pap.fr/annonces/appartement-paris-10e-r434200098,ParisEst,33.333333333333336,PAP
331,850,1,28.0,https://www.pap.fr/annonces/appartement-paris-10e-r189106065,ParisEst,30.357142857142854,PAP
332,455,1,9.0,https://www.pap.fr/annonces/appartement-paris-10e-r427501371,ParisEst,50.555555555555564,PAP
333,750,1,24.0,https://www.pap.fr/annonces/appartement-paris-10e-75010-r434500028,ParisEst,31.25,PAP
334,1050,2,30.0,https://www.pap.fr/annonces/appartement-paris-10e-75010-r434402169,ParisEst,35.0,PAP
335,785,1,20.0,https://www.pap.fr/annonces/appartement-paris-10e-r425401445,ParisEst,39.25,PAP
336,992,2,33.0,https://www.pap.fr/annonces/appartement-paris-10e-75010-r434401358,ParisEst,30.060606060606066,PAP
337,648,1,15.0,https://www.pap.fr/annonces/appartement-paris-10e-r405501354,ParisEst,43.2,PAP
338,689,1,16.0,https://www.pap.fr/annonces/appartement-paris-10e-75010-r434400974,ParisEst,43.0625,PAP
339,710,1,13.0,https://www.pap.fr/annonces/appartement-paris-10e-r423401042,ParisEst,54.615384615384606,PAP
340,1200,1,22.0,https://www.pap.fr/annonces/appartement-paris-10e-75010-r433500294,ParisEst,54.54545454545455,PAP
341,1200,2,25.0,https://www.pap.fr/annonces/appartement-paris-10e-75010-r434202329,ParisEst,48.0,PAP
342,990,1,25.0,https://www.pap.fr/annonces/appartement-paris-10e-75010-r434400317,ParisEst,39.6,PAP
