,Price,N_rooms,Surface_m2,Link,Zone,Price_per_m2
63,875,1,23.02,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/faubourg-du-temple-hopital-saint-louis/163769207.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,38.010425716768026
64,872,1,25.0,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/louis-blanc-aqueduc/164054305.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,34.88
65,890,2,17.0,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/faubourg-du-temple-hopital-saint-louis/161242367.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,52.35294117647059
66,1122,1,27.0,"https://www.seloger.com/annonces/locations/appartement/paris-9eme-75/trudaine-maubeuge/163213511.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,41.55555555555556
67,990,2,26.01,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/faubourg-du-temple-hopital-saint-louis/163513149.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,38.06228373702422
68,661,1,13.75,"https://www.seloger.com/annonces/locations/appartement/paris-9eme-75/trudaine-maubeuge/164059743.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,48.07272727272727
69,916,1,25.0,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/chateau-d-eau-lancry/164181637.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,36.64
70,924,1,32.2,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/louis-blanc-aqueduc/164422449.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,28.69565217391304
71,655,1,16.6,"https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/belleville-saint-maur/164548607.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,39.4578313253012
72,937,1,25.38,"https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/republique-saint-ambroise/164549213.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,36.918833727344364
