,Price,N_rooms,Surface_m2,Link,Zone,Price_per_m2
40,895,1,34.34,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/162283423.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,26.062900407687824
41,930,1,28.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/162957115.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,33.214285714285715
42,987,2,30.42,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/muette-nord/163022275.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,32.44575936883629
43,1050,1,32.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/muette-nord/163171431.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,32.8125
44,1000,1,24.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/muette-nord/163483271.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,41.666666666666664
45,600,1,12.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/porte-dauphine/163558765.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,50.0
46,1065,1,25.0,"https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/gros-caillou/163875375.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,42.6
47,584,1,16.87,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/muette-sud/164212001.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,34.61766449318316
48,1015,1,22.0,"https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/elysees-madeleine/164291739.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,46.13636363636363
49,708,1,14.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/porte-dauphine/164301879.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,50.57142857142857
50,1015,1,22.0,"https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/elysees-madeleine/164291739.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,46.13636363636363
51,708,1,14.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/porte-dauphine/164301879.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,50.57142857142857
52,1200,2,33.0,"https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/elysees-madeleine/164366805.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,36.36363636363637
53,1050,2,22.28,"https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/ecole-militaire/140784219.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,47.12746858168761
54,980,1,30.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/muette-nord/160301607.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,32.666666666666664
55,660,1,12.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/145907769.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,55.0
56,1100,2,25.0,"https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/europe/149448293.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,44.0
57,1160,1,25.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/muette-nord/153481899.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,46.4
58,1100,1,30.56,"https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/parc-monceau/155581751.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,35.99476439790576
59,1050,1,20.0,"https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/invalides/155906913.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,52.5
