,index,Price,N_rooms,Surface_m2,Link,District,Zone,Price_per_m2
102,280,595,1,13,https://www.pap.fr/annonces/appartement-paris-7e-r410702413,7E,ParisOuest,45.76923076923077
103,281,780,1,15,https://www.pap.fr/annonces/appartement-paris-7e-75007-r434400782,7E,ParisOuest,52.0
104,282,675,1,9,https://www.pap.fr/annonces/appartement-paris-7e-r428700587,7E,ParisOuest,75.0
105,283,620,1,10,https://www.pap.fr/annonces/appartement-paris-7e-75007-r434300995,7E,ParisOuest,62.0
106,284,598,1,13,https://www.pap.fr/annonces/appartement-paris-7e-r418201371,7E,ParisOuest,46.0
107,285,1055,1,23,https://www.pap.fr/annonces/appartement-paris-7e-r192009076,7E,ParisOuest,45.869565217391305
108,286,1090,1,24,https://www.pap.fr/annonces/appartement-paris-7e-75007-r434101636,7E,ParisOuest,45.416666666666664
109,287,1100,1,31,https://www.pap.fr/annonces/appartement-paris-7e-75007-r433600423,7E,ParisOuest,35.483870967741936
110,288,700,1,12,https://www.pap.fr/annonces/appartement-paris-8e-r434401234,8E,ParisOuest,58.333333333333336
111,289,490,1,9,https://www.pap.fr/annonces/appartement-paris-8e-r417001453,8E,ParisOuest,54.44444444444444
112,290,960,1,23,https://www.pap.fr/annonces/appartement-paris-8e-75008-r434200884,8E,ParisOuest,41.73913043478261
113,291,750,1,16,https://www.pap.fr/annonces/appartement-paris-8e-75008-r434500103,8E,ParisOuest,46.875
114,292,750,1,15,https://www.pap.fr/annonces/appartement-paris-7e-75007-r434201209,7E,ParisOuest,50.0
115,294,700,1,15,https://www.pap.fr/annonces/appartement-paris-8e-75008-r434500108,8E,ParisOuest,46.666666666666664
116,295,630,1,20,https://www.pap.fr/annonces/appartement-paris-8e-r434500265,8E,ParisOuest,31.5
117,296,890,1,20,https://www.pap.fr/annonces/appartement-paris-8e-r185509217,8E,ParisOuest,44.5
118,297,1200,1,30,https://www.pap.fr/annonces/appartement-paris-8e-75008-r429800622,8E,ParisOuest,40.0
119,298,650,1,12,https://www.pap.fr/annonces/appartement-paris-8e-75008-r434401125,8E,ParisOuest,54.166666666666664
120,299,650,1,10,https://www.pap.fr/annonces/appartement-paris-8e-75008-r434401138,8E,ParisOuest,65.0
121,300,1060,1,17,https://www.pap.fr/annonces/appartement-paris-8e-r421000448,8E,ParisOuest,62.35294117647059
122,301,1190,1,30,https://www.pap.fr/annonces/appartement-paris-8e-r193004050,8E,ParisOuest,39.666666666666664
123,302,650,1,11,https://www.pap.fr/annonces/appartement-paris-8e-r180304127,8E,ParisOuest,59.09090909090909
124,303,1130,1,25,https://www.pap.fr/annonces/appartement-paris-16e-r412200725,16,ParisOuest,45.2
125,304,1150,1,24,https://www.pap.fr/annonces/appartement-paris-16e-75016-r434000686,16,ParisOuest,47.916666666666664
126,307,650,1,12,https://www.pap.fr/annonces/appartement-paris-16e-r404500095,16,ParisOuest,54.166666666666664
127,308,550,1,10,https://www.pap.fr/annonces/appartement-paris-16e-75016-r434102125,16,ParisOuest,55.0
128,309,600,2,19,https://www.pap.fr/annonces/appartement-paris-16e-r196109955,16,ParisOuest,31.57894736842105
129,310,1030,2,31,https://www.pap.fr/annonces/appartement-paris-16e-75116-r434402215,16,ParisOuest,33.225806451612904
130,311,1200,1,28,https://www.pap.fr/annonces/appartement-paris-16e-r414001125,16,ParisOuest,42.857142857142854
131,312,920,2,18,https://www.pap.fr/annonces/appartement-paris-16e-r422500962,16,ParisOuest,51.111111111111114
132,313,755,1,9,https://www.pap.fr/annonces/appartement-paris-16e-r422900382,16,ParisOuest,83.88888888888889
133,314,760,1,13,https://www.pap.fr/annonces/appartement-paris-16e-75116-r430501631,16,ParisOuest,58.46153846153846
134,315,1000,2,30,https://www.pap.fr/annonces/appartement-paris-16e-75116-r434301425,16,ParisOuest,33.333333333333336
135,319,650,1,15,https://www.pap.fr/annonces/appartement-paris-16e-75016-r434401948,16,ParisOuest,43.333333333333336
136,320,1125,2,32,https://www.pap.fr/annonces/appartement-paris-16e-75016-r434401955,16,ParisOuest,35.15625
137,321,600,1,10,https://www.pap.fr/annonces/appartement-paris-16e-75016-r432802849,16,ParisOuest,60.0
138,322,950,1,20,https://www.pap.fr/annonces/appartement-paris-16e-75016-r434400975,16,ParisOuest,47.5
139,323,1050,2,19,https://www.pap.fr/annonces/appartement-paris-16e-r190511749,16,ParisOuest,55.26315789473684
140,324,1150,1,18,https://www.pap.fr/annonces/appartement-paris-16e-r423500564,16,ParisOuest,63.888888888888886
141,325,1150,1,30,https://www.pap.fr/annonces/appartement-paris-16e-75016-r434400666,16,ParisOuest,38.333333333333336
142,326,970,1,32,https://www.pap.fr/annonces/appartement-paris-16e-75016-r434400700,16,ParisOuest,30.3125
143,327,540,1,11,https://www.pap.fr/annonces/appartement-paris-16e-r18060399,16,ParisOuest,49.09090909090909
144,328,1050,1,23,https://www.pap.fr/annonces/appartement-paris-16e-75116-r434400167,16,ParisOuest,45.65217391304348
145,329,550,1,11,https://www.pap.fr/annonces/appartement-paris-16e-75016-r434302065,16,ParisOuest,50.0
146,330,950,1,18,https://www.pap.fr/annonces/appartement-paris-16e-r423500937,16,ParisOuest,52.77777777777778
147,333,650,1,15,https://www.pap.fr/annonces/appartement-paris-16e-75016-r434301098,16,ParisOuest,43.333333333333336
148,334,690,1,12,https://www.pap.fr/annonces/appartement-paris-16e-75116-r432900500,16,ParisOuest,57.5
149,335,1050,1,19,https://www.pap.fr/annonces/appartement-paris-16e-r413100993,16,ParisOuest,55.26315789473684
150,336,1200,1,30,https://www.pap.fr/annonces/appartement-paris-16e-r426001581,16,ParisOuest,40.0
